protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+identity0+identity_p1,graph+center0+center1,right_minus_left,spearman,364,-0.003315915872238301,-0.006400186921914301,-3.051093062482259e-05
cluster,graph+identity0+identity_p1,graph+center0+center1,right_minus_left,rmse_z,364,0.0021418707189976905,0.00020592508134219362,0.004110643095607114
cluster,graph+identity0+identity_p1,graph+center0+center_p1,right_minus_left,pcc,364,-0.0019519863067163116,-0.0047136199594538875,0.00045908505958449123
cluster,graph+identity0+identity_p1,graph+center0+center_p1,right_minus_left,spearman,364,-0.0017650346553924532,-0.0052140633837149345,0.0015471667806363073
cluster,graph+identity0+identity_p1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.0018838118197307,-0.00022824080871518686,0.003951222780608561
cluster,graph+identity0+identity_p1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.001426095512926758,-0.004149756868759103,0.001326367017610749
cluster,graph+identity0+identity_p1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.0008114536895712606,-0.003964521992277009,0.0023969091877950374
cluster,graph+identity0+identity_p1,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.0011877425059051597,-0.0007786966639762079,0.003110774639181388
cluster,graph+identity0+identity_upper1,graph+geometric0,right_minus_left,pcc,364,0.0013472238644226882,-0.0008880633173022012,0.003477970663147488
cluster,graph+identity0+identity_upper1,graph+geometric0,right_minus_left,spearman,364,0.0009694293432476558,-0.0019215030830217821,0.003802042646224649
cluster,graph+identity0+identity_upper1,graph+geometric0,right_minus_left,rmse_z,364,-0.0005444927262367461,-0.002345929628676073,0.0013734260609392505
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric1,right_minus_left,pcc,364,0.0007103215607989694,-0.0015235765892417732,0.002948983931921363
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric1,right_minus_left,spearman,364,-0.00017759095558088386,-0.003120793865951987,0.0026779845098236807
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric1,right_minus_left,rmse_z,364,0.0010374433358648779,-0.0009805762863929154,0.0031831840414554527
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_p1,right_minus_left,pcc,364,0.0007966198098094401,-0.0015665523287218465,0.0030373044475404593
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-0.0018680369100542533,-0.005748032127242077,0.0017786176304625174
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.0012161027664323682,-0.0008182839121266193,0.003440717926492627
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.0003453755869214779,-0.0022559560634046855,0.001433380969158858
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-0.001831326797501219,-0.0050909311867223545,0.0010443400254125735
cluster,graph+identity0+identity_upper1,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.0015589951861113536,-0.00026318500630367946,0.0035436442501111855
cluster,graph+identity0+identity_upper1,graph+center0,right_minus_left,pcc,364,-0.0019543140386756442,-0.004419719286720543,0.0004510237895290538
cluster,graph+identity0+identity_upper1,graph+center0,right_minus_left,spearman,364,-0.004727098505504787,-0.008442668111123944,-0.0010647951475864395
cluster,graph+identity0+identity_upper1,graph+center0,right_minus_left,rmse_z,364,0.00045624626992825027,-0.0016639301526795334,0.002578902726129118
cluster,graph+identity0+identity_upper1,graph+center0+center1,right_minus_left,pcc,364,-0.0023557534045683276,-0.004784725821326715,-6.0389319958336255e-05
cluster,graph+identity0+identity_upper1,graph+center0+center1,right_minus_left,spearman,364,-0.00452963444782528,-0.00792913000055332,-0.0009703822754720574
cluster,graph+identity0+identity_upper1,graph+center0+center1,right_minus_left,rmse_z,364,0.0021335227124772917,-7.343497168711163e-05,0.004279062387961689
cluster,graph+identity0+identity_upper1,graph+center0+center_p1,right_minus_left,pcc,364,-0.0019325072611821488,-0.004514853762380496,0.000424101502426579
cluster,graph+identity0+identity_upper1,graph+center0+center_p1,right_minus_left,spearman,364,-0.002978753230979431,-0.006524071594022974,0.0006278859656580511
cluster,graph+identity0+identity_upper1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.0018754638132103014,-0.0002589024619159634,0.0040632494151531555
cluster,graph+identity0+identity_upper1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.0014066164673925948,-0.003960342835415528,0.0011742865064471276
cluster,graph+identity0+identity_upper1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.0020251722651582387,-0.005163402973269652,0.001161433573677031
cluster,graph+identity0+identity_upper1,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.001179394499384761,-0.0008316152663024406,0.0030983927843645552
cluster,graph+geometric0,graph+geometric0+geometric1,right_minus_left,pcc,364,-0.0006369023036237186,-0.0023556446544416485,0.001037437002720336
cluster,graph+geometric0,graph+geometric0+geometric1,right_minus_left,spearman,364,-0.0011470202988285395,-0.0031952202563933453,0.0008238800357742847
cluster,graph+geometric0,graph+geometric0+geometric1,right_minus_left,rmse_z,364,0.0015819360621016241,8.005353869415562e-05,0.003125774977151127
cluster,graph+geometric0,graph+geometric0+geometric_p1,right_minus_left,pcc,364,-0.0005506040546132478,-0.0022382371331573056,0.0010385677777493118
cluster,graph+geometric0,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-0.0028374662533019093,-0.0059403064067774045,-0.00016782705305867047
cluster,graph+geometric0,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.0017605954926691143,0.0002887008124959193,0.0033952233332833564
cluster,graph+geometric0,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.001692599451344166,-0.003445410271327475,-0.00017855631992119386
cluster,graph+geometric0,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-0.002800756140748875,-0.005643326039472355,-0.0003573145572991168
cluster,graph+geometric0,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.0021034879123480997,0.0008567053655366922,0.0033916777747145478
cluster,graph+geometric0,graph+center0,right_minus_left,pcc,364,-0.003301537903098333,-0.005180125940156821,-0.0013106819268811148
cluster,graph+geometric0,graph+center0,right_minus_left,spearman,364,-0.005696527848752442,-0.00851619004611397,-0.0031337764548790676
