protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
protein,native0,center0,right_minus_left,rmse_z,364,0.029801121805202658,0.02228179391050166,0.03705824154396932
protein,native0,graph+identity0,right_minus_left,pcc,364,0.016775122202881135,0.010516122217857174,0.02347197270864784
protein,native0,graph+identity0,right_minus_left,spearman,364,0.010226215695666008,0.004239595800367043,0.016384008092812322
protein,native0,graph+identity0,right_minus_left,rmse_z,364,-0.0625817950098318,-0.07819931362307503,-0.049100065089814605
protein,native0,graph+geometric0,right_minus_left,pcc,364,0.017485981339717006,0.011007680224440215,0.0240474998010547
protein,native0,graph+geometric0,right_minus_left,spearman,364,0.01187214136439301,0.005395294617979606,0.018238594517084376
protein,native0,graph+geometric0,right_minus_left,rmse_z,364,-0.06276114229135805,-0.07781379162992703,-0.04911530783585489
protein,graph+native0,center0,right_minus_left,pcc,364,-0.06613206782203708,-0.07875067348081147,-0.055517015419232624
protein,graph+native0,center0,right_minus_left,spearman,364,-0.052757225694968525,-0.06525175561285548,-0.041886726500935556
protein,graph+native0,center0,right_minus_left,rmse_z,364,0.09125146650909162,0.07760059328259063,0.10636653531634344
protein,graph+native0,graph+identity0,right_minus_left,pcc,364,-0.0004195884489979182,-0.0029338066543015593,0.002216453283696321
protein,graph+native0,graph+identity0,right_minus_left,spearman,364,0.0008122861155971164,-0.001969385342744317,0.0033916738913751586
protein,graph+native0,graph+identity0,right_minus_left,rmse_z,364,-0.0011314503059428212,-0.003597307476657518,0.001277440596820775
protein,graph+native0,graph+geometric0,right_minus_left,pcc,364,0.00029127068783795423,-0.0025344563966756112,0.0030583740170416116
protein,graph+native0,graph+geometric0,right_minus_left,spearman,364,0.0024582117843241187,-0.0011993640214266964,0.005859229158383205
protein,graph+native0,graph+geometric0,right_minus_left,rmse_z,364,-0.0013107975874690771,-0.003599880426378705,0.001008829360360948
protein,center0,graph+identity0,right_minus_left,pcc,364,0.06571247937303917,0.05567451240067143,0.07782405543059395
protein,center0,graph+identity0,right_minus_left,spearman,364,0.053569511810565636,0.043379137453663286,0.06596026362917026
protein,center0,graph+identity0,right_minus_left,rmse_z,364,-0.09238291681503447,-0.10807655932244205,-0.07850368433183566
protein,center0,graph+geometric0,right_minus_left,pcc,364,0.06642333850987504,0.056461780963680305,0.078525876754598
protein,center0,graph+geometric0,right_minus_left,spearman,364,0.05521543747929263,0.04491962713804655,0.0673408194371997
protein,center0,graph+geometric0,right_minus_left,rmse_z,364,-0.09256226409656074,-0.10804583428835254,-0.07867541369203937
protein,graph+identity0,graph+geometric0,right_minus_left,pcc,364,0.0007108591368358724,-0.0016280548493625778,0.00297608090189002
protein,graph+identity0,graph+geometric0,right_minus_left,spearman,364,0.0016459256687270025,-0.001128069513955186,0.004287205413450494
protein,graph+identity0,graph+geometric0,right_minus_left,rmse_z,364,-0.0001793472815262558,-0.0021947229136327086,0.001938076429753189
